metric,metric_name,condition_a,condition_b,contrast,n_subjects_paired,mean_a,mean_b,median_a,median_b,mean_diff_b_minus_a,median_diff_b_minus_a,sd_diff,cohen_dz,shapiro_w_diff,shapiro_p_diff,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,nonzero_diff_n,paired_t_q_fdr,wilcoxon_q_fdr
tlx,NASA-TLX,L0,L2,L2 - L0,19,34.47368421052631,61.08842105263158,25.67,62.67,26.614736842105263,23.33,20.23016047841579,1.3155969212652259,0.959954375392203,0.5714830818545004,5.734554030228356,1.9497359060643793e-05,7.0,7.2479248046875e-05,19,2.924603859096569e-05,0.0001087188720703125
tlx,NASA-TLX,L0,L3,L3 - L0,19,34.47368421052631,76.71842105263158,25.67,79.67,42.24473684210526,40.0,21.826631635183922,1.9354675310508251,0.9496040457982479,0.38911723961711003,8.436507376354719,1.1406916199813133e-07,0.0,3.814697265625e-06,19,3.42207485994394e-07,1.1444091796875e-05
tlx,NASA-TLX,L2,L3,L3 - L2,19,61.08842105263158,76.71842105263158,62.67,79.67,15.629999999999999,17.659999999999997,14.583495999092793,1.0717594739267118,0.9284043677178271,0.16184472122614668,4.671691238628852,0.0001898750925240161,14.0,0.0011130354392137054,19,0.00018987509252401608,0.0011130354392137054
rri_ms,RRI ms,L0,L2,L2 - L0,19,593.1578947368421,569.8947368421053,584.0,464.0,-23.263157894736842,8.0,131.34722519814213,-0.17711190974642602,0.7852164984964332,0.0007025492644956365,-0.7720129162821676,0.4501245703081296,74.5,0.6314956365833834,18,0.8275744192419794,0.6314956365833834
rri_ms,RRI ms,L0,L3,L3 - L0,19,593.1578947368421,589.8421052631579,584.0,580.0,-3.3157894736842106,-6.0,86.49216575414276,-0.03833629837769894,0.8330812080161691,0.003602967707860787,-0.16710405049781193,0.869151135131316,80.5,0.55942963865861,19,0.869151135131316,0.6314956365833834
rri_ms,RRI ms,L2,L3,L3 - L2,19,569.8947368421053,589.8421052631579,464.0,580.0,19.94736842105263,-4.0,143.34669460368164,0.13915471491130088,0.6735147921830794,2.7332261180032905e-05,0.606561339815573,0.551716279494653,46.5,0.44304712931479207,15,0.8275744192419794,0.6314956365833834
hr_bpm,Heart rate BPM,L0,L2,L2 - L0,19,114.07420656723288,117.14446946990033,102.73972602739725,130.37858494277205,3.0702629026674417,-0.6967670011148357,21.559042057918212,0.14241184253081388,0.8362590821860724,0.004041728056981947,0.6207588299552453,0.5425393952843272,75.0,0.6474707129373445,18,0.8211498125566447,0.6474707129373445
hr_bpm,Heart rate BPM,L0,L3,L3 - L0,19,114.07420656723288,116.14575400359222,102.73972602739725,103.45319634703196,2.0715474363593422,2.261420171867911,19.61208272036786,0.10562608091633048,0.7681013581910606,0.00040756606762400643,0.46041341251653467,0.6507330016738684,79.0,0.5412178039550781,19,0.8211498125566447,0.6474707129373445
hr_bpm,Heart rate BPM,L2,L3,L3 - L2,19,117.14446946990033,116.14575400359222,130.37858494277205,103.45319634703196,-0.9987154663080994,1.4560279557367437,18.977471916389206,-0.052626370398977905,0.7244767581317968,0.00011044682653115571,-0.22939303033448494,0.8211498125566445,41.0,0.28053090025207417,15,0.8211498125566447,0.6474707129373445
rri_norm,RRI normalized to R,L0,L2,L2 - L0,19,0.13351661560638023,0.11601227029673632,0.04807692307692308,0.02,-0.017504345309643947,0.009302325581395349,0.2325358659954859,-0.07527589447205427,0.8475558125938936,0.006123058788712524,-0.32812001688831655,0.7466069608504975,71.0,0.5277266198659963,18,0.7466069608504974,0.70855712890625
rri_norm,RRI normalized to R,L0,L3,L3 - L0,19,0.13351661560638023,0.147379107044699,0.04807692307692308,0.025,0.013862491438318726,-0.015,0.18225332501213853,0.07606166547247052,0.7996995383458618,0.0011314197648157392,0.3315451132718959,0.7440617533919991,85.0,0.70855712890625,19,0.7466069608504974,0.70855712890625
rri_norm,RRI normalized to R,L2,L3,L3 - L2,19,0.11601227029673632,0.147379107044699,0.02,0.025,0.031366836747962666,-0.01,0.24121098846553576,0.13003900422407316,0.6865091956735563,3.856420759511644e-05,0.5668268781313937,0.5778324120114804,47.0,0.46030155637941883,15,0.7466069608504974,0.70855712890625
hr_norm,HR normalized to R,L0,L2,L2 - L0,19,-0.07727334130448905,-0.028244549137623788,-0.04587155963302758,-0.01960784313725488,0.04902879216686529,-0.009048250320897195,0.19943710702149492,0.24583585722380671,0.7629044893907269,0.0003467681453537163,1.0715736583372668,0.2980696021345619,75.0,0.6474707129373445,18,0.5521265185883734,0.6474707129373445
hr_norm,HR normalized to R,L0,L3,L3 - L0,19,-0.07727334130448905,-0.04025324236073455,-0.04587155963302758,-0.024390243902438973,0.03702009894375451,0.015076134479119409,0.17477989522369192,0.21180982455890804,0.7141007712760001,8.224948579480699e-05,0.9232576205013596,0.36808434572558224,71.0,0.3524589538574219,19,0.5521265185883734,0.5286884307861328
hr_norm,HR normalized to R,L2,L3,L3 - L2,19,-0.028244549137623788,-0.04025324236073455,-0.01960784313725488,-0.024390243902438973,-0.012008693223110767,0.009706853038244959,0.18588737483132478,-0.06460198404548734,0.7183111781614816,9.263715418342005e-05,-0.28159352000650617,0.7814669637468206,42.0,0.3066241230648338,15,0.7814669637468206,0.5286884307861328
